,precision,recall,f1-score,support
0,0.8326352530541012,0.836577240049097,0.8346015918831453,5703.0
1,0.8150793650793651,0.8107361357805407,0.8129019491441575,5067.0
accuracy,0.8244196843082637,0.8244196843082637,0.8244196843082637,0.8244196843082637
macro avg,0.8238573090667332,0.8236566879148188,0.8237517705136514,10770.0
weighted avg,0.8243756723328396,0.8244196843082637,0.8243924841989809,10770.0
