feature,gain
cust_hitrate,112284.64019064605
cust_interactions,81487.38109547645
product_B_sold_in_the_past,48247.65139616281
opp_month,33909.31649490446
product_A_sold_in_the_past,20566.09891064465
cust_contracts,15001.627288743854
opp_old,14388.830475255847
competitor_Z,9870.281378671527
cust_in_iberia,9103.726497337222
competitor_Y,7440.454020701349
product_A_recommended,7163.618120364845
product_A,2285.520706795156
product_D,248.09981378912926
competitor_X,95.46391386538744
product_C,0.0
